circuitId,url_circuit
64,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ain-Diab.svg/375px-Ain-Diab.svg.png
39,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Zandvoort_Circuit.png/375px-Zandvoort_Circuit.png
27,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Estoril_track_map.svg/375px-Estoril_track_map.svg.png
59,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Boavista_%28Oporto%29.svg/375px-Boavista_%28Oporto%29.svg.png
62,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Circuit_Monsanto.png/330px-Circuit_Monsanto.png
75,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg/375px-Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg.png
78,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Losail.svg/375px-Losail.svg.png
71,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Circuit_Sochi.svg/375px-Circuit_Sochi.svg.png
77,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Jeddah_Street_Circuit_2021.svg/330px-Jeddah_Street_Circuit_2021.svg.png
15,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Marina_bay_circuit.svg/360px-Marina_bay_circuit.svg.png
30,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kyalami_16.png/330px-Kyalami_16.png
56,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Prince_George_Circuit.svg/390px-Prince_George_Circuit.svg.png
4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Formula1_Circuit_Catalunya_2021.svg/375px-Formula1_Circuit_Catalunya_2021.svg.png
12,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Circuit_Valensia_street.svg/375px-Circuit_Valensia_street.svg.png
26,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Jerez_GP_Circuit_2004.png/413px-Jerez_GP_Circuit_2004.png
45,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Circuito_Permanente_del_Jarama.svg/375px-Circuito_Permanente_del_Jarama.svg.png
49,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Circuit_MontjuichPark.png/375px-Circuit_MontjuichPark.png
67,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Circuit_Pedralbes.png/375px-Circuit_Pedralbes.png
47,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Scandinavian_Raceway.svg/390px-Scandinavian_Raceway.svg.png
66,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Circuit_Bremgarten.svg/375px-Circuit_Bremgarten.svg.png
5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/375px-Istanbul_park.svg.png
24,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Yas_Marina_Circuit.png/375px-Yas_Marina_Circuit.png
9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Silverstone_Circuit_2020.png/375px-Silverstone_Circuit_2020.png
